Obs,State,Date,Equity Capital - All Institutions,Core Deposits to Total Liabilities - All Institutions,Gross 1-4 Family Mortgages to Gross Assets - All Institutions,Gross Real Estate Assets to Gross Assets - All Institutions,Leverage (Core Capital) Ratio - All Institutions,Net Charge-Offs - All Institutions,Net Income (year-to-date) - All Institutions,Other Real Estate Owned - All Institutions,Reserve Coverage Ratio - All Institutions,Provisions for Credit Losses - All Institutions,Total Assets - All Institutions,Total Deposits - All Institutions,Total Loans & Leases - All Institutions,Total Risk-Based Capital (Non CBLR Electors) - All Institutions
174,New York,06/30/2008,39434.0,37.13,8.38,37.89,8.6,269.0,845.0,133.0,74.63,463.0,376380.0,254774.0,173826.0,14.33
175,New York,09/30/2008,43138.0,41.43,7.0,33.18,8.88,510.0,1442.0,164.0,82.27,800.0,463060.0,324306.0,189355.0,14.37
176,New York,12/31/2008,55347.0,40.08,5.46,25.04,9.74,875.0,790.0,212.0,77.28,1421.0,613287.0,363268.0,180898.0,14.28
177,New York,03/31/2009,58279.0,40.07,5.85,27.04,8.97,296.0,1516.0,219.0,62.45,623.0,569995.0,344294.0,178329.0,15.43
178,New York,06/30/2009,60495.0,42.05,6.58,30.65,9.51,781.0,2265.0,231.0,52.58,1178.0,532285.0,328736.0,180790.0,16.05
179,New York,09/30/2009,63101.0,41.85,6.56,30.73,10.05,1297.0,1136.0,256.0,46.24,1894.0,537293.0,333567.0,175425.0,16.42
180,New York,12/31/2009,65572.0,46.41,7.72,32.59,10.43,1781.0,2481.0,318.0,46.78,2581.0,522598.0,346578.0,179524.0,17.28
181,New York,03/31/2010,67291.0,44.5,7.92,32.75,10.94,348.0,1322.0,381.0,47.98,422.0,513557.0,339281.0,175205.0,18.59
182,New York,06/30/2010,68780.0,44.52,7.75,31.91,11.2,685.0,2705.0,493.0,53.34,754.0,527730.0,345115.0,177663.0,18.7
183,New York,09/30/2010,70455.0,42.19,7.51,31.07,10.91,999.0,3919.0,516.0,51.95,1044.0,546914.0,354175.0,178807.0,18.48
184,New York,12/31/2010,70982.0,45.1,7.6,31.87,10.8,1600.0,4771.0,553.0,52.24,1342.0,527231.0,350590.0,175757.0,19.14
185,New York,03/31/2011,71362.0,44.33,7.21,30.83,11.1,278.0,1305.0,557.0,53.54,145.0,539991.0,369585.0,177220.0,18.41
186,New York,06/30/2011,72988.0,47.68,6.7,28.88,11.0,508.0,2795.0,488.0,51.14,296.0,593723.0,420177.0,186046.0,18.16
187,New York,09/30/2011,75675.0,49.18,6.38,28.08,10.51,700.0,4213.0,534.0,49.13,439.0,625404.0,439447.0,196579.0,18.53
188,New York,12/31/2011,73762.0,51.67,6.4,28.97,10.14,959.0,5720.0,504.0,50.44,705.0,634354.0,457298.0,202136.0,17.29
189,New York,03/31/2012,75133.0,49.2,6.77,32.15,10.54,135.0,1443.0,458.0,52.18,91.0,597914.0,429996.0,201757.0,17.91
190,New York,06/30/2012,76302.0,49.55,6.48,31.19,10.48,290.0,2347.0,419.0,56.31,238.0,655717.0,478290.0,215254.0,16.84
191,New York,09/30/2012,78250.0,47.57,6.41,30.58,10.27,410.0,3919.0,382.0,57.52,335.0,677883.0,494095.0,219336.0,16.82
192,New York,12/31/2012,79161.0,49.49,6.27,29.83,10.14,550.0,5497.0,360.0,56.04,374.0,698212.0,528084.0,224979.0,16.93
193,New York,03/31/2013,77619.0,48.43,6.31,31.15,9.86,103.0,593.0,378.0,55.91,74.0,694582.0,524150.0,235033.0,15.92
194,New York,06/30/2013,77988.0,48.7,6.23,31.3,10.03,226.0,2413.0,362.0,59.25,167.0,696340.0,527908.0,238337.0,16.04
195,New York,09/30/2013,78690.0,49.52,5.97,31.04,10.0,312.0,4065.0,335.0,62.24,270.0,707005.0,538919.0,243325.0,16.13
196,New York,12/31/2013,80104.0,51.91,5.96,31.19,9.79,412.0,5327.0,313.0,68.03,360.0,712441.0,549054.0,247716.0,16.19
197,New York,03/31/2014,81594.0,52.2,5.93,31.64,9.97,49.0,1460.0,306.0,64.81,8.0,715335.0,553968.0,257186.0,16.73
198,New York,06/30/2014,82785.0,53.64,5.62,30.69,9.88,114.0,2694.0,303.0,66.55,26.0,759284.0,592967.0,266026.0,15.84
199,New York,09/30/2014,83596.0,53.95,5.73,32.05,9.73,198.0,4595.0,309.0,69.6,107.0,745260.0,575198.0,267515.0,16.14
200,New York,12/31/2014,83347.0,52.66,5.65,32.41,9.58,267.0,5364.0,300.0,86.15,173.0,749260.0,576882.0,275864.0,15.79
201,New York,03/31/2015,84483.0,52.58,5.46,32.84,9.66,40.0,1473.0,287.0,92.06,57.0,777463.0,603154.0,286846.0,13.81
202,New York,06/30/2015,85971.0,53.61,5.48,33.03,9.73,70.0,3721.0,237.0,92.58,106.0,778555.0,608350.0,292298.0,13.83
203,New York,09/30/2015,87299.0,53.17,5.57,33.79,9.88,118.0,5464.0,235.0,90.35,184.0,769804.0,598089.0,300455.0,13.93
204,New York,12/31/2015,91290.0,51.46,7.42,34.5,9.99,347.0,6642.0,344.0,70.6,481.0,821639.0,634255.0,325672.0,14.06
205,New York,03/31/2016,93572.0,52.38,7.41,35.18,10.03,102.0,1712.0,332.0,69.8,187.0,814106.0,623601.0,329696.0,14.14
206,New York,06/30/2016,95107.0,54.71,7.15,34.43,9.88,159.0,3490.0,308.0,70.07,266.0,834041.0,651760.0,332114.0,14.42
207,New York,09/30/2016,96106.0,57.22,6.99,34.44,10.14,303.0,5267.0,293.0,74.37,373.0,842339.0,661530.0,336291.0,14.7
208,New York,12/31/2016,96085.0,57.7,7.21,36.49,10.22,459.0,7047.0,262.0,76.07,571.0,798378.0,621015.0,333474.0,14.69
209,New York,03/31/2017,98179.0,57.87,7.11,36.88,10.68,87.0,1789.0,248.0,73.3,106.0,795296.0,616313.0,330688.0,14.92
210,New York,06/30/2017,99353.0,58.13,6.92,36.95,10.8,391.0,3701.0,217.0,72.73,431.0,804035.0,628560.0,335351.0,14.9
211,New York,09/30/2017,100871.0,57.23,6.55,36.49,11.04,492.0,5588.0,202.0,81.35,646.0,812767.0,631366.0,336647.0,15.21
212,New York,12/31/2017,101791.0,56.26,6.31,35.84,10.8,809.0,7024.0,197.0,86.07,969.0,840436.0,653498.0,345467.0,14.74
213,New York,03/31/2018,103524.0,56.29,6.19,35.63,10.84,241.0,2281.0,183.0,94.09,277.0,849211.0,655377.0,352231.0,15.23
214,New York,06/30/2018,104427.0,57.21,6.27,36.73,11.18,348.0,4728.0,176.0,98.77,433.0,837213.0,650139.0,357733.0,15.36
215,New York,09/30/2018,104525.0,58.61,6.48,36.83,11.33,435.0,7223.0,172.0,94.55,624.0,834013.0,653364.0,357735.0,15.38
216,New York,12/31/2018,104753.0,57.27,6.13,35.66,11.04,588.0,9664.0,156.0,108.89,894.0,864886.0,669989.0,371045.0,15.07
217,New York,03/31/2019,106173.0,57.72,6.11,36.02,11.07,184.0,2278.0,155.0,110.28,283.0,859861.0,667709.0,371893.0,15.22
218,New York,06/30/2019,107585.0,55.32,5.88,34.66,10.96,366.0,4572.0,164.0,109.64,497.0,908826.0,697250.0,376718.0,14.93
219,New York,09/30/2019,108184.0,56.28,5.82,34.51,10.67,539.0,6728.0,149.0,97.52,676.0,918014.0,708312.0,381893.0,14.95
220,New York,12/31/2019,108836.0,57.42,5.72,34.27,10.55,773.0,8917.0,145.0,104.01,938.0,938687.0,735705.0,391778.0,15.0
221,New York,03/31/2020,110111.0,58.21,5.02,30.79,10.15,189.0,1742.0,140.0,145.55,1285.0,1056457.0,835571.0,428002.0,14.71
222,New York,06/30/2020,112137.0,62.15,4.8,30.23,9.48,559.0,2916.0,115.0,124.88,2884.0,1086639.0,879440.0,423380.0,15.32
223,New York,09/30/2020,113318.0,65.73,4.85,30.63,9.44,775.0,4951.0,96.0,124.9,3189.0,1078332.0,874425.0,418356.0,15.84
224,New York,12/31/2020,114949.0,67.24,4.7,29.68,9.28,1092.0,6668.0,73.0,100.4,3714.0,1124273.0,930912.0,425394.0,15.35
225,New York,03/31/2021,116344.0,69.0,4.68,29.26,9.23,209.0,2541.0,78.0,90.7,-171.0,1158032.0,957031.0,438888.0,15.03
226,New York,06/30/2021,118480.0,70.01,4.29,27.04,9.09,335.0,4997.0,60.0,90.63,-223.0,1238489.0,1030417.0,447421.0,14.92
227,New York,09/30/2021,127708.0,68.8,4.21,26.37,9.25,464.0,7802.0,73.0,93.73,-136.0,1291898.0,1039129.0,464099.0,15.28
228,New York,12/31/2021,130134.0,69.91,4.21,26.29,9.04,650.0,10525.0,61.0,104.53,177.0,1329184.0,1078033.0,491728.0,15.85
229,New York,03/31/2022,130006.0,67.61,3.97,25.46,8.81,141.0,2552.0,58.0,109.73,469.0,1392081.0,1111231.0,504406.0,15.65
230,New York,06/30/2022,136991.0,67.72,4.38,25.54,8.62,316.0,4828.0,65.0,130.42,1400.0,1444611.0,1149599.0,557528.0,15.05
231,New York,09/30/2022,138257.0,67.81,4.42,25.63,8.85,587.0,8002.0,56.0,142.94,2026.0,1428711.0,1132734.0,564942.0,15.11
232,New York,12/31/2022,134196.0,69.23,4.89,24.58,9.14,889.0,10356.0,57.0,139.6,3043.0,1316667.0,1053579.0,522545.0,15.49
233,New York,03/31/2023,129819.0,64.92,5.26,22.17,9.42,337.0,3660.0,60.0,111.1,2.0,1231050.0,939515.0,446850.0,15.87
234,New York,06/30/2023,130809.0,65.06,5.07,21.41,9.32,839.0,6855.0,53.0,118.68,921.0,1268352.0,981738.0,449389.0,15.57
235,New York,09/30/2023,132288.0,66.01,5.08,21.13,9.66,1325.0,10216.0,47.0,96.6,1107.0,1273431.0,981273.0,454683.0,15.95
236,New York,12/31/2023,134207.0,65.72,5.19,21.41,9.63,1901.0,12688.0,43.0,112.42,2006.0,1256549.0,992364.0,461255.0,16.07
237,New York,03/31/2024,136968.0,65.07,5.01,21.36,9.61,529.0,3842.0,44.0,103.12,601.0,1316347.0,1021364.0,471908.0,16.47
238,New York,06/30/2024,140278.0,64.23,5.03,22.0,9.81,1133.0,7962.0,37.0,108.52,1134.0,1300383.0,1000309.0,470400.0,16.77
239,New York,09/30/2024,144852.0,63.68,5.02,22.46,10.05,1784.0,11801.0,34.0,106.45,1850.0,1323063.0,1017528.0,480218.0,16.82
240,New York,12/31/2024,145600.0,65.02,5.18,23.04,9.96,2450.0,15374.0,51.0,117.56,2431.0,1302991.0,1008478.0,488143.0,16.87
241,Texas,03/31/1995,4898.0,77.92,12.39,47.23,8.44,9.0,169.0,263.0,139.99,16.0,57176.0,46739.0,25873.0,17.08
242,Texas,06/30/1995,5104.0,77.7,12.55,47.1,8.59,22.0,345.0,249.0,141.02,27.0,57778.0,47038.0,26723.0,17.04
243,Texas,09/30/1995,5260.0,78.0,12.65,46.99,8.74,35.0,533.0,209.0,135.96,45.0,58312.0,47474.0,27379.0,17.12
244,Texas,12/31/1995,5335.0,78.21,12.66,47.14,8.55,59.0,708.0,204.0,91.72,71.0,60224.0,49552.0,28772.0,16.43
245,Texas,03/31/1996,5407.0,77.33,12.39,47.53,8.62,14.0,228.0,160.0,104.22,18.0,60456.0,49583.0,28940.0,16.71
246,Texas,06/30/1996,5371.0,77.08,12.29,47.78,8.58,34.0,373.0,155.0,109.99,54.0,61037.0,50004.0,29871.0,16.35
247,Texas,09/30/1996,5473.0,77.79,12.61,48.29,8.56,56.0,554.0,159.0,98.36,78.0,61949.0,51049.0,30363.0,16.32
248,Texas,12/31/1996,5450.0,79.58,12.46,46.25,8.61,87.0,712.0,125.0,98.05,110.0,61275.0,51778.0,31088.0,15.78
249,Texas,03/31/1997,5688.0,79.6,12.38,46.11,8.57,15.0,210.0,140.0,104.38,36.0,62130.0,52638.0,31928.0,15.77
250,Texas,06/30/1997,None,None,None,None,None,None,None,None,None,None,None,None,None,None
251,Texas,09/30/1997,6037.0,78.36,12.13,46.42,8.73,61.0,646.0,164.0,113.57,87.0,64424.0,53671.0,33732.0,15.6
252,Texas,12/31/1997,5847.0,77.05,11.82,46.44,8.66,87.0,818.0,177.0,111.62,127.0,63021.0,52045.0,32296.0,15.4
253,Texas,03/31/1998,5942.0,76.69,12.08,46.61,8.64,17.0,221.0,171.0,113.98,30.0,64386.0,53183.0,32936.0,15.44
254,Texas,06/30/1998,5989.0,73.39,11.78,45.72,8.67,42.0,448.0,145.0,116.08,64.0,66626.0,52737.0,33705.0,15.26
255,Texas,09/30/1998,6187.0,71.9,11.39,45.75,8.44,73.0,646.0,118.0,118.31,135.0,68988.0,53630.0,34521.0,15.03
256,Texas,12/31/1998,5608.0,71.14,11.26,43.27,8.33,103.0,784.0,113.0,112.03,141.0,63833.0,49618.0,31509.0,15.15
257,Texas,03/31/1999,5541.0,70.09,11.56,44.16,8.41,17.0,198.0,105.0,106.31,35.0,61719.0,47578.0,31045.0,15.28
258,Texas,06/30/1999,5540.0,69.68,11.6,45.04,8.6,41.0,415.0,107.0,114.54,70.0,61985.0,47645.0,31788.0,15.33
259,Texas,09/30/1999,5625.0,68.63,11.71,45.66,8.64,64.0,631.0,105.0,107.73,103.0,63617.0,48396.0,33300.0,15.1
260,Texas,12/31/1999,5704.0,68.4,11.55,45.98,8.51,107.0,819.0,105.0,122.55,151.0,65739.0,49915.0,34364.0,14.89
261,Texas,03/31/2000,5965.0,67.81,11.8,46.12,8.52,17.0,215.0,105.0,131.68,38.0,67148.0,50675.0,35279.0,14.81
262,Texas,06/30/2000,5833.0,65.81,12.06,46.48,8.63,41.0,442.0,93.0,128.0,74.0,66811.0,49514.0,35843.0,14.84
263,Texas,09/30/2000,6012.0,66.03,12.08,46.82,8.6,62.0,681.0,85.0,140.8,113.0,68779.0,51650.0,37130.0,14.68
264,Texas,12/31/2000,None,None,None,None,None,None,None,None,None,None,None,None,None,None
265,Texas,03/31/2001,6162.0,69.69,12.48,51.4,8.75,19.0,232.0,82.0,122.38,31.0,66194.0,52754.0,38355.0,14.47
266,Texas,06/30/2001,6329.0,70.09,12.52,52.07,8.73,39.0,463.0,93.0,103.35,64.0,67237.0,53497.0,39561.0,14.31
267,Texas,09/30/2001,6608.0,70.46,12.22,52.25,8.86,66.0,705.0,102.0,103.82,103.0,68467.0,54756.0,40238.0,14.57
268,Texas,12/31/2001,6770.0,70.85,12.41,52.32,8.94,108.0,957.0,99.0,90.17,126.0,71007.0,56591.0,41597.0,14.48
269,Texas,03/31/2002,7159.0,69.75,12.02,53.83,9.04,26.0,274.0,119.0,85.41,37.0,72079.0,56573.0,41929.0,14.75
270,Texas,06/30/2002,7203.0,68.4,12.44,54.17,9.2,55.0,598.0,127.0,86.86,89.0,72242.0,55944.0,42344.0,14.96
271,Texas,09/30/2002,7626.0,67.55,13.11,54.21,9.34,94.0,877.0,129.0,75.77,158.0,75090.0,57839.0,44146.0,14.95
272,Texas,12/31/2002,7989.0,67.36,13.23,53.73,9.37,147.0,1187.0,150.0,83.85,237.0,77533.0,59729.0,45511.0,15.1
273,Texas,03/31/2003,8254.0,67.97,13.19,54.21,9.56,31.0,332.0,159.0,85.95,50.0,78948.0,60963.0,46499.0,15.36
274,Texas,06/30/2003,8080.0,67.11,13.98,54.77,9.74,61.0,691.0,174.0,89.11,79.0,76501.0,58880.0,44175.0,15.85
275,Texas,09/30/2003,8148.0,66.07,12.59,53.79,9.72,94.0,1028.0,191.0,93.59,120.0,78580.0,59534.0,44202.0,15.92
276,Texas,12/31/2003,8553.0,68.12,12.68,54.36,9.9,135.0,1332.0,194.0,92.18,165.0,79228.0,61694.0,45424.0,16.07
277,Texas,03/31/2004,8834.0,65.66,12.92,54.15,10.08,32.0,383.0,221.0,103.69,36.0,81934.0,62167.0,46788.0,15.85
278,Texas,06/30/2004,8934.0,66.16,12.65,54.28,10.08,59.0,725.0,221.0,113.52,74.0,82624.0,62544.0,48378.0,15.53
279,Texas,09/30/2004,8255.0,66.98,12.8,53.47,8.92,91.0,1293.0,223.0,125.25,107.0,81903.0,62903.0,49354.0,14.31
280,Texas,12/31/2004,8332.0,67.79,12.92,54.87,8.93,128.0,1549.0,212.0,123.11,144.0,82113.0,63451.0,49908.0,14.26
281,Texas,03/31/2005,8199.0,67.63,13.34,55.72,9.12,22.0,287.0,197.0,121.35,36.0,79697.0,61378.0,47563.0,14.76
282,Texas,06/30/2005,8601.0,67.64,13.41,56.24,9.3,51.0,566.0,194.0,132.15,69.0,81385.0,62765.0,49345.0,15.02
283,Texas,09/30/2005,8820.0,67.37,13.04,55.51,9.44,88.0,876.0,141.0,135.41,111.0,82993.0,63713.0,50243.0,15.12
284,Texas,12/31/2005,8942.0,68.59,12.46,54.55,9.35,126.0,1157.0,126.0,126.36,154.0,85418.0,66668.0,50780.0,14.99
285,Texas,03/31/2006,9066.0,68.29,12.26,54.51,9.41,25.0,299.0,150.0,131.74,27.0,85525.0,66747.0,50075.0,15.36
286,Texas,06/30/2006,9236.0,66.95,12.38,55.24,9.39,66.0,617.0,147.0,146.62,65.0,87607.0,67628.0,52295.0,15.13
287,Texas,09/30/2006,9646.0,67.34,11.98,55.44,9.54,91.0,931.0,152.0,147.64,110.0,89261.0,68995.0,53797.0,15.07
288,Texas,12/31/2006,10928.0,67.69,11.47,54.24,8.97,100.0,1159.0,139.0,163.05,107.0,93314.0,72073.0,55205.0,14.19
289,Texas,03/31/2007,11634.0,68.31,10.53,53.44,9.24,17.0,297.0,166.0,147.26,25.0,95218.0,74329.0,55586.0,14.36
290,Texas,06/30/2007,12049.0,68.55,10.52,54.03,9.52,35.0,634.0,160.0,138.32,58.0,96063.0,75204.0,57461.0,14.69
291,Texas,09/30/2007,12458.0,67.49,10.38,55.13,9.58,61.0,948.0,185.0,123.78,96.0,98264.0,75788.0,59209.0,14.61
292,Texas,12/31/2007,18455.0,62.71,8.73,51.6,9.46,261.0,1832.0,215.0,104.06,397.0,164237.0,122807.0,112217.0,12.47
293,Texas,03/31/2008,16209.0,61.0,8.52,52.53,9.06,138.0,345.0,228.0,85.91,226.0,161995.0,120157.0,110624.0,12.16
294,Texas,06/30/2008,16045.0,60.09,8.7,53.19,8.94,335.0,539.0,290.0,72.27,508.0,163028.0,117324.0,112309.0,12.24
295,Texas,09/30/2008,16162.0,59.72,8.85,53.69,8.81,564.0,487.0,358.0,69.5,900.0,164965.0,115436.0,113849.0,12.12
296,Texas,12/31/2008,16495.0,61.32,8.07,53.16,8.94,654.0,1074.0,349.0,76.8,1011.0,168600.0,121612.0,111250.0,12.71
297,Texas,03/31/2009,16990.0,61.49,8.24,53.51,8.88,247.0,272.0,456.0,74.24,313.0,171338.0,124142.0,109995.0,13.19
298,Texas,06/30/2009,17019.0,63.22,8.75,52.38,9.03,591.0,535.0,535.0,71.4,762.0,167561.0,124319.0,109226.0,13.48
299,Texas,09/30/2009,17461.0,65.21,8.87,51.95,9.21,956.0,866.0,614.0,67.06,1289.0,166976.0,125670.0,107446.0,14.0
300,Texas,12/31/2009,17441.0,66.87,8.95,52.23,9.35,1325.0,1014.0,624.0,71.9,1779.0,167272.0,127963.0,105395.0,14.19
301,Texas,03/31/2010,51260.0,88.46,8.16,58.46,8.65,134.0,9524.0,97.0,263.65,468.0,839232.0,738995.0,301338.0,18.0
302,Texas,06/30/2010,18989.0,77.05,10.25,52.6,9.98,520.0,707.0,818.0,58.27,562.0,170210.0,133101.0,106669.0,15.19
303,Texas,09/30/2010,19289.0,77.96,10.32,52.32,10.19,794.0,1040.0,923.0,56.15,858.0,170486.0,134078.0,106201.0,15.45
304,Texas,12/31/2010,19022.0,78.82,10.1,52.31,10.18,1054.0,1323.0,945.0,58.4,1137.0,171155.0,136117.0,105449.0,15.64
305,Texas,03/31/2011,19360.0,79.51,9.75,51.34,10.27,183.0,380.0,931.0,59.51,146.0,174078.0,139342.0,103255.0,16.0
306,Texas,06/30/2011,19924.0,80.41,9.91,51.41,10.33,361.0,780.0,1023.0,61.37,281.0,172997.0,138994.0,103641.0,16.13
307,Texas,09/30/2011,51260.0,88.46,8.16,58.46,8.65,134.0,9524.0,97.0,263.65,468.0,839232.0,738995.0,301338.0,18.0
308,Texas,12/31/2011,20731.0,81.95,10.04,50.86,10.3,700.0,1604.0,1014.0,63.0,625.0,179887.0,145697.0,106052.0,16.06
309,Texas,03/31/2012,21206.0,82.3,9.74,50.44,10.35,104.0,509.0,1003.0,62.13,70.0,185175.0,150385.0,106648.0,16.05
310,Texas,06/30/2012,23896.0,83.18,9.34,48.74,10.16,217.0,1143.0,978.0,69.59,141.0,205859.0,166920.0,117409.0,15.89
311,Texas,09/30/2012,24258.0,83.39,9.5,48.5,10.06,312.0,1686.0,899.0,68.62,210.0,208267.0,168564.0,118856.0,15.61
312,Texas,12/31/2012,24284.0,84.51,9.28,46.85,9.83,398.0,2134.0,799.0,76.04,269.0,215922.0,176761.0,122047.0,15.13
313,Texas,03/31/2013,24408.0,84.93,9.28,47.44,9.94,73.0,573.0,778.0,78.55,61.0,213781.0,175626.0,120804.0,15.39
314,Texas,06/30/2013,24239.0,84.84,9.58,47.61,10.05,132.0,1181.0,689.0,83.29,128.0,212833.0,174469.0,123784.0,15.29
315,Texas,09/30/2013,24581.0,85.64,9.27,46.76,10.16,186.0,1807.0,723.0,86.06,189.0,218679.0,180464.0,124188.0,15.41
316,Texas,12/31/2013,25600.0,86.5,9.36,46.73,10.01,241.0,2413.0,707.0,95.03,246.0,226815.0,188823.0,130173.0,15.16
317,Texas,03/31/2014,26377.0,86.45,9.31,46.98,10.1,34.0,631.0,674.0,105.68,34.0,230527.0,191837.0,132876.0,15.2
318,Texas,06/30/2014,27673.0,86.23,9.7,47.24,10.19,74.0,1314.0,639.0,114.99,80.0,236138.0,195341.0,139943.0,14.85
319,Texas,09/30/2014,27977.0,86.91,9.55,46.21,10.12,89.0,1992.0,547.0,123.62,131.0,240376.0,200092.0,140915.0,14.85
320,Texas,12/31/2014,28521.0,87.03,9.55,46.18,10.0,137.0,2698.0,518.0,133.74,173.0,246418.0,205336.0,144553.0,14.62
321,Texas,03/31/2015,29615.0,86.8,9.65,46.74,10.0,32.0,691.0,514.0,134.53,56.0,253538.0,210726.0,150552.0,14.28
322,Texas,06/30/2015,29669.0,86.1,9.92,47.26,10.12,77.0,1409.0,474.0,132.17,136.0,253130.0,208408.0,153221.0,14.29
323,Texas,09/30/2015,30290.0,86.14,9.87,47.19,10.14,126.0,2122.0,441.0,130.81,227.0,256328.0,210555.0,154175.0,14.55
324,Texas,12/31/2015,30317.0,86.4,9.95,47.18,10.1,229.0,2751.0,397.0,134.14,410.0,260572.0,214436.0,156913.0,14.4
325,Texas,03/31/2016,30851.0,86.25,10.16,48.29,10.2,101.0,640.0,410.0,111.63,248.0,259164.0,212958.0,159206.0,14.42
326,Texas,06/30/2016,31721.0,84.31,10.35,48.25,10.25,232.0,1347.0,409.0,122.7,398.0,264820.0,213478.0,163661.0,14.37
327,Texas,09/30/2016,32281.0,84.76,10.29,47.81,10.24,287.0,2135.0,397.0,116.24,471.0,272600.0,220857.0,165901.0,14.5
328,Texas,12/31/2016,31798.0,85.22,10.33,48.42,10.2,381.0,2896.0,320.0,120.59,593.0,273276.0,222357.0,166488.0,14.65
329,Texas,03/31/2017,31779.0,85.93,10.16,48.59,10.2,94.0,851.0,329.0,126.03,88.0,275335.0,226052.0,165340.0,14.69
330,Texas,06/30/2017,32436.0,85.17,10.71,49.37,10.28,143.0,1727.0,307.0,132.1,174.0,274504.0,223006.0,170741.0,14.49
331,Texas,09/30/2017,33137.0,85.52,10.71,49.19,10.37,220.0,2584.0,281.0,137.1,278.0,279363.0,227458.0,172611.0,14.6
332,Texas,12/31/2017,33627.0,85.55,10.83,49.73,10.36,285.0,3283.0,249.0,122.73,349.0,282532.0,229852.0,175321.0,14.57
333,Texas,03/31/2018,33177.0,85.75,10.72,49.79,10.57,75.0,981.0,235.0,123.58,72.0,278892.0,227691.0,172107.0,14.91
334,Texas,06/30/2018,33824.0,84.35,10.86,50.14,10.72,135.0,2046.0,249.0,134.92,110.0,280448.0,225446.0,176171.0,14.76
335,Texas,09/30/2018,34246.0,84.49,10.66,49.92,10.74,196.0,3138.0,222.0,148.55,158.0,282509.0,227722.0,176844.0,14.91
336,Texas,12/31/2018,35389.0,84.56,10.77,50.48,10.81,256.0,4198.0,200.0,165.21,249.0,286835.0,232297.0,181951.0,14.85
337,Texas,03/31/2019,37669.0,84.15,10.64,51.21,10.9,42.0,1092.0,203.0,168.63,45.0,296742.0,239948.0,189673.0,14.71
338,Texas,06/30/2019,38659.0,83.2,10.88,51.81,10.89,109.0,2222.0,214.0,169.2,156.0,302188.0,241666.0,195552.0,14.57
339,Texas,09/30/2019,38912.0,83.5,11.27,51.78,10.8,216.0,3372.0,220.0,170.77,263.0,307762.0,245916.0,199481.0,14.41
340,Texas,12/31/2019,40306.0,84.34,11.0,51.6,10.77,252.0,4310.0,225.0,154.47,299.0,311991.0,250232.0,198620.0,14.39
341,Texas,03/31/2020,60704.0,88.5,7.96,57.02,8.98,148.0,1320.0,223.0,185.58,777.0,611391.0,519464.0,224708.0,15.57
342,Texas,06/30/2020,64444.0,89.86,7.35,60.52,7.93,299.0,2994.0,224.0,187.74,1221.0,668842.0,577181.0,240960.0,15.84
343,Texas,09/30/2020,None,None,None,None,None,None,None,None,None,None,None,None,None,None
344,Texas,12/31/2020,67608.0,91.54,6.78,62.26,7.62,500.0,6670.0,198.0,170.62,1455.0,740636.0,650884.0,243191.0,16.24
345,Texas,03/31/2021,68011.0,92.49,6.76,62.57,7.92,61.0,2125.0,184.0,169.49,-195.0,761471.0,677014.0,245555.0,17.63
346,Texas,06/30/2021,74865.0,92.23,6.9,64.39,8.33,74.0,4106.0,171.0,176.15,-374.0,777772.0,683645.0,246258.0,18.58
347,Texas,09/30/2021,78811.0,93.12,6.49,62.54,8.32,121.0,6404.0,165.0,192.22,-423.0,851153.0,750928.0,270355.0,18.27
348,Texas,12/31/2021,78316.0,93.86,6.31,59.9,8.16,146.0,8478.0,105.0,222.82,-447.0,907981.0,810206.0,277323.0,18.18
349,Texas,03/31/2022,68634.0,94.22,6.5,57.56,8.2,39.0,2004.0,99.0,215.29,35.0,920245.0,833166.0,281797.0,18.27
350,Texas,06/30/2022,61704.0,93.56,7.13,57.84,8.36,51.0,4278.0,111.0,261.6,135.0,884628.0,800516.0,291087.0,18.22
351,Texas,09/30/2022,51332.0,92.66,7.86,57.58,8.63,89.0,6873.0,118.0,264.45,264.0,831605.0,754082.0,296206.0,18.43
352,Texas,12/31/2022,51260.0,88.46,8.16,58.46,8.65,134.0,9524.0,97.0,263.65,468.0,839232.0,738995.0,301338.0,18.0
353,Texas,03/31/2023,56129.0,77.36,8.29,58.1,8.98,36.0,1860.0,92.0,269.76,134.0,847536.0,685556.0,307291.0,18.35
354,Texas,06/30/2023,60235.0,74.94,8.77,59.18,9.59,119.0,3698.0,96.0,265.06,280.0,824151.0,663629.0,313656.0,19.52
355,Texas,09/30/2023,58787.0,74.68,9.26,60.45,9.97,171.0,5482.0,100.0,263.58,367.0,790762.0,649906.0,313846.0,19.86
356,Texas,12/31/2023,65739.0,75.32,9.38,60.12,10.31,295.0,6469.0,83.0,233.46,469.0,795647.0,656298.0,314993.0,20.5
357,Texas,03/31/2024,66581.0,76.5,9.71,61.44,10.57,88.0,1591.0,122.0,199.91,102.0,770775.0,635633.0,315853.0,20.97
358,Texas,06/30/2024,69108.0,75.67,10.12,61.8,10.92,165.0,2749.0,253.0,188.37,199.0,769411.0,627694.0,329583.0,20.94
359,Texas,09/30/2024,74972.0,77.27,10.08,60.72,11.08,229.0,4154.0,155.0,179.02,296.0,778303.0,635772.0,331068.0,21.28
360,Texas,12/31/2024,73770.0,80.2,10.23,59.7,11.26,356.0,6121.0,246.0,176.26,400.0,781973.0,651942.0,333500.0,21.52
