Obs,State,Date,Total Deposits,Total Assets
1,Alabama,03/31/2019,207233.0,260827.0
2,Alabama,03/31/2020,215164.0,268138.0
3,Alabama,03/31/2021,263215.0,307761.0
4,Alabama,03/31/2022,193721.0,222305.0
5,Alabama,03/31/2023,180832.0,211627.0
6,Alabama,03/31/2024,184915.0,216791.0
7,Alabama,06/30/2019,205516.0,258174.0
8,Alabama,06/30/2020,246314.0,292235.0
9,Alabama,06/30/2021,261135.0,304348.0
10,Alabama,06/30/2022,190653.0,218128.0
11,Alabama,06/30/2023,180571.0,214315.0
12,Alabama,06/30/2024,183478.0,216703.0
13,Alabama,09/30/2019,205958.0,260431.0
14,Alabama,09/30/2020,249430.0,295280.0
15,Alabama,09/30/2021,255038.0,298765.0
16,Alabama,09/30/2022,187564.0,214939.0
17,Alabama,09/30/2023,181976.0,214306.0
18,Alabama,09/30/2024,184097.0,221592.0
19,Alabama,12/31/2019,210046.0,259586.0
20,Alabama,12/31/2020,253883.0,299036.0
21,Alabama,12/31/2021,191349.0,220873.0
22,Alabama,12/31/2022,185076.0,214104.0
23,Alabama,12/31/2023,183809.0,214084.0
24,Alabama,12/31/2024,187213.0,222915.0
25,Alaska,03/31/2019,2343.0,2775.0
26,Alaska,03/31/2020,2551.0,3016.0
27,Alaska,03/31/2021,3547.0,4027.0
28,Alaska,03/31/2022,4028.0,4468.0
29,Alaska,03/31/2023,4008.0,4457.0
30,Alaska,03/31/2024,4165.0,4674.0
31,Alaska,06/30/2019,2442.0,2858.0
32,Alaska,06/30/2020,3080.0,3563.0
33,Alaska,06/30/2021,3776.0,4261.0
34,Alaska,06/30/2022,4039.0,4452.0
35,Alaska,06/30/2023,4012.0,4521.0
36,Alaska,06/30/2024,4224.0,4764.0
37,Alaska,09/30/2019,2546.0,2972.0
38,Alaska,09/30/2020,3184.0,3676.0
39,Alaska,09/30/2021,3988.0,4480.0
40,Alaska,09/30/2022,4260.0,4659.0
41,Alaska,09/30/2023,4206.0,4733.0
42,Alaska,09/30/2024,4432.0,4976.0
43,Alaska,12/31/2019,2562.0,2989.0
44,Alaska,12/31/2020,3248.0,3727.0
45,Alaska,12/31/2021,4123.0,4604.0
46,Alaska,12/31/2022,4176.0,4607.0
47,Alaska,12/31/2023,4246.0,4760.0
48,Alaska,12/31/2024,4451.0,5017.0
49,Arizona,03/31/2019,23164.0,26848.0
50,Arizona,03/31/2020,27300.0,31706.0
51,Arizona,03/31/2021,42323.0,47495.0
52,Arizona,03/31/2022,56564.0,65063.0
53,Arizona,03/31/2023,49343.0,72715.0
54,Arizona,03/31/2024,63918.0,78467.0
55,Arizona,06/30/2019,24515.0,28509.0
56,Arizona,06/30/2020,30460.0,34970.0
57,Arizona,06/30/2021,45941.0,53153.0
58,Arizona,06/30/2022,58140.0,70558.0
59,Arizona,06/30/2023,52772.0,69819.0
60,Arizona,06/30/2024,67910.0,81997.0
61,Arizona,09/30/2019,25426.0,29516.0
62,Arizona,09/30/2020,31791.0,36492.0
63,Arizona,09/30/2021,49865.0,57147.0
64,Arizona,09/30/2022,59649.0,73230.0
65,Arizona,09/30/2023,55800.0,72323.0
66,Arizona,09/30/2024,69680.0,81470.0
67,Arizona,12/31/2019,25712.0,29881.0
68,Arizona,12/31/2020,35456.0,40291.0
69,Arizona,12/31/2021,51993.0,60461.0
70,Arizona,12/31/2022,55354.0,69355.0
71,Arizona,12/31/2023,57231.0,72723.0
72,Arizona,12/31/2024,68122.0,82453.0
73,Arkansas,03/31/2019,80792.0,101484.0
74,Arkansas,03/31/2020,88579.0,112670.0
75,Arkansas,03/31/2021,107150.0,131717.0
76,Arkansas,03/31/2022,114059.0,138035.0
77,Arkansas,03/31/2023,124009.0,153235.0
78,Arkansas,03/31/2024,133895.0,163000.0
79,Arkansas,06/30/2019,83399.0,104976.0
80,Arkansas,06/30/2020,98942.0,123026.0
81,Arkansas,06/30/2021,108031.0,132432.0
82,Arkansas,06/30/2022,122773.0,147148.0
83,Arkansas,06/30/2023,124623.0,155826.0
84,Arkansas,06/30/2024,134422.0,164430.0
85,Arkansas,09/30/2019,83718.0,105450.0
86,Arkansas,09/30/2020,99785.0,123908.0
87,Arkansas,09/30/2021,108342.0,133124.0
88,Arkansas,09/30/2022,121741.0,145940.0
89,Arkansas,09/30/2023,126386.0,158133.0
90,Arkansas,09/30/2024,136263.0,166419.0
91,Arkansas,12/31/2019,84548.0,106596.0
92,Arkansas,12/31/2020,102307.0,126678.0
93,Arkansas,12/31/2021,111802.0,136829.0
94,Arkansas,12/31/2023,129363.0,161168.0
95,Arkansas,12/31/2024,138548.0,166729.0
96,California,03/31/2019,425470.0,523773.0
97,California,03/31/2020,475990.0,601837.0
98,California,03/31/2021,647352.0,758290.0
99,California,03/31/2022,785386.0,897492.0
100,California,03/31/2023,425159.0,637181.0
101,California,03/31/2024,317675.0,388502.0
102,California,06/30/2019,435390.0,538940.0
103,California,06/30/2020,532848.0,646885.0
104,California,06/30/2021,691608.0,801179.0
105,California,06/30/2022,780715.0,906720.0
106,California,06/30/2023,322004.0,398734.0
107,California,06/30/2024,320827.0,389844.0
108,California,09/30/2019,457086.0,563382.0
109,California,09/30/2020,550683.0,660844.0
110,California,09/30/2021,741487.0,854759.0
111,California,09/30/2022,770663.0,911610.0
112,California,09/30/2023,321663.0,396708.0
113,California,09/30/2024,322402.0,388786.0
114,California,12/31/2019,466095.0,576230.0
115,California,12/31/2020,589797.0,696799.0
116,California,12/31/2021,779536.0,891546.0
117,California,12/31/2023,320783.0,397310.0
118,California,12/31/2024,310164.0,372092.0
119,Colorado,03/31/2019,43114.0,49476.0
120,Colorado,03/31/2020,45495.0,52589.0
121,Colorado,03/31/2021,59170.0,66876.0
122,Colorado,03/31/2022,66131.0,72760.0
123,Colorado,03/31/2023,71751.0,83579.0
124,Colorado,03/31/2024,79354.0,92023.0
125,Colorado,06/30/2019,43296.0,49944.0
126,Colorado,06/30/2020,51424.0,59125.0
127,Colorado,06/30/2021,60639.0,68364.0
128,Colorado,06/30/2022,65184.0,71709.0
129,Colorado,06/30/2023,75082.0,87563.0
130,Colorado,06/30/2024,77763.0,91130.0
131,Colorado,09/30/2019,44150.0,50911.0
132,Colorado,09/30/2020,53533.0,61626.0
133,Colorado,09/30/2021,62439.0,69971.0
134,Colorado,09/30/2022,67439.0,75053.0
135,Colorado,09/30/2023,78165.0,91065.0
136,Colorado,09/30/2024,78063.0,91303.0
137,Colorado,12/31/2019,44490.0,51260.0
138,Colorado,12/31/2020,55437.0,63354.0
139,Colorado,12/31/2021,65170.0,72590.0
140,Colorado,12/31/2023,79019.0,92369.0
141,Colorado,12/31/2024,77537.0,89172.0
142,Connecticut,03/31/2019,28320.0,36350.0
143,Connecticut,03/31/2020,22405.0,28662.0
144,Connecticut,03/31/2021,27527.0,33383.0
145,Connecticut,03/31/2022,29990.0,35664.0
146,Connecticut,03/31/2023,30246.0,36796.0
147,Connecticut,03/31/2024,28746.0,36335.0
148,Connecticut,06/30/2019,27363.0,34844.0
149,Connecticut,06/30/2020,24740.0,30985.0
150,Connecticut,06/30/2021,28243.0,34012.0
151,Connecticut,06/30/2022,29964.0,35467.0
152,Connecticut,06/30/2023,29826.0,37156.0
153,Connecticut,06/30/2024,29244.0,36885.0
154,Connecticut,09/30/2019,27319.0,34895.0
155,Connecticut,09/30/2020,25282.0,31483.0
156,Connecticut,09/30/2021,28853.0,34720.0
157,Connecticut,09/30/2022,30361.0,36123.0
158,Connecticut,09/30/2023,28690.0,36177.0
159,Connecticut,09/30/2024,29643.0,37298.0
160,Connecticut,12/31/2019,21751.0,27881.0
161,Connecticut,12/31/2020,25992.0,31989.0
162,Connecticut,12/31/2021,29515.0,35345.0
163,Connecticut,12/31/2022,30480.0,36322.0
164,Connecticut,12/31/2023,28443.0,36345.0
165,Connecticut,12/31/2024,29796.0,37348.0
166,Delaware,03/31/2019,106396.0,164140.0
167,Delaware,03/31/2020,111646.0,165040.0
168,Delaware,03/31/2021,114379.0,161441.0
169,Delaware,03/31/2022,109597.0,154804.0
170,Delaware,03/31/2023,134313.0,179877.0
171,Delaware,03/31/2024,150032.0,201015.0
172,Delaware,06/30/2019,107805.0,165478.0
173,Delaware,06/30/2020,117372.0,165188.0
174,Delaware,06/30/2021,109955.0,156367.0
175,Delaware,06/30/2022,117613.0,167455.0
176,Delaware,06/30/2023,136731.0,184392.0
177,Delaware,06/30/2024,147499.0,198851.0
178,Delaware,09/30/2019,109994.0,165226.0
179,Delaware,09/30/2020,115942.0,172802.0
180,Delaware,09/30/2021,107052.0,153632.0
181,Delaware,09/30/2022,121208.0,168042.0
182,Delaware,09/30/2023,143579.0,191088.0
183,Delaware,09/30/2024,151689.0,200383.0
184,Delaware,12/31/2019,111635.0,168701.0
185,Delaware,12/31/2020,113579.0,160480.0
186,Delaware,12/31/2021,108970.0,157496.0
187,Delaware,12/31/2022,130490.0,179233.0
188,Delaware,12/31/2023,150353.0,201914.0
189,Delaware,12/31/2024,152965.0,200558.0
190,Florida,03/31/2019,35692.0,41933.0
191,Florida,03/31/2020,35251.0,41894.0
192,Florida,03/31/2021,45568.0,53780.0
193,Florida,03/31/2022,86707.0,96823.0
194,Florida,03/31/2023,88099.0,98763.0
195,Florida,03/31/2024,93602.0,106300.0
196,Florida,06/30/2019,35191.0,41468.0
197,Florida,06/30/2020,39996.0,48289.0
198,Florida,06/30/2021,78484.0,90243.0
199,Florida,06/30/2022,88439.0,98443.0
200,Florida,06/30/2023,87182.0,98063.0
201,Florida,06/30/2024,93416.0,106438.0
202,Florida,09/30/2019,35376.0,41736.0
203,Florida,09/30/2020,40554.0,49086.0
204,Florida,09/30/2021,81917.0,92913.0
205,Florida,09/30/2022,89193.0,99023.0
206,Florida,09/30/2023,87305.0,98219.0
207,Florida,09/30/2024,94987.0,108889.0
208,Florida,12/31/2019,34738.0,41092.0
209,Florida,12/31/2020,41936.0,50035.0
210,Florida,12/31/2021,83622.0,94286.0
211,Florida,12/31/2022,87807.0,98462.0
212,Florida,12/31/2023,92599.0,105708.0
213,Florida,12/31/2024,96446.0,110002.0
214,Georgia,03/31/2019,256163.0,322685.0
215,Georgia,03/31/2020,95239.0,116365.0
216,Georgia,03/31/2021,119656.0,137681.0
217,Georgia,03/31/2022,113186.0,129447.0
218,Georgia,03/31/2023,113036.0,135979.0
219,Georgia,03/31/2024,116180.0,135768.0
220,Georgia,06/30/2019,254211.0,326308.0
221,Georgia,06/30/2020,106217.0,127250.0
222,Georgia,06/30/2021,121324.0,139605.0
223,Georgia,06/30/2022,114104.0,130908.0
224,Georgia,06/30/2023,113753.0,134838.0
225,Georgia,06/30/2024,115992.0,136473.0
226,Georgia,09/30/2019,260755.0,333288.0
227,Georgia,09/30/2020,109637.0,128885.0
228,Georgia,09/30/2021,107429.0,123847.0
229,Georgia,09/30/2022,112521.0,131979.0
230,Georgia,09/30/2023,114188.0,133522.0
231,Georgia,09/30/2024,116683.0,136810.0
232,Georgia,12/31/2019,93682.0,113636.0
233,Georgia,12/31/2020,114831.0,132851.0
234,Georgia,12/31/2021,112517.0,129505.0
235,Georgia,12/31/2022,113154.0,134239.0
236,Georgia,12/31/2023,115553.0,134456.0
237,Georgia,12/31/2024,119784.0,138991.0
238,Hawaii,03/31/2019,39407.0,46498.0
239,Hawaii,03/31/2020,40611.0,48261.0
240,Hawaii,03/31/2021,48324.0,55313.0
241,Hawaii,03/31/2022,51781.0,57971.0
242,Hawaii,03/31/2023,50759.0,59135.0
243,Hawaii,03/31/2024,50194.0,57926.0
244,Hawaii,06/30/2019,39646.0,46933.0
245,Hawaii,06/30/2020,44991.0,52244.0
246,Hawaii,06/30/2021,50008.0,56977.0
247,Hawaii,06/30/2022,52492.0,58588.0
248,Hawaii,06/30/2023,50639.0,59839.0
249,Hawaii,06/30/2024,49593.0,57467.0
250,Hawaii,09/30/2019,39591.0,47060.0
251,Hawaii,09/30/2020,44708.0,51903.0
252,Hawaii,09/30/2021,51310.0,58438.0
253,Hawaii,09/30/2022,51761.0,58021.0
254,Hawaii,09/30/2023,51453.0,58936.0
255,Hawaii,09/30/2024,50156.0,57831.0
256,Hawaii,12/31/2019,39752.0,47096.0
257,Hawaii,12/31/2020,45649.0,52725.0
258,Hawaii,12/31/2021,51025.0,57863.0
259,Hawaii,12/31/2022,51314.0,58343.0
260,Hawaii,12/31/2023,51510.0,59169.0
261,Hawaii,12/31/2024,50027.0,57728.0
262,Idaho,03/31/2019,4998.0,5915.0
263,Idaho,03/31/2020,4823.0,5727.0
264,Idaho,03/31/2021,6711.0,8108.0
265,Idaho,03/31/2022,7859.0,8925.0
266,Idaho,03/31/2023,7933.0,9283.0
267,Idaho,03/31/2024,8308.0,10022.0
268,Idaho,06/30/2019,4432.0,5237.0
269,Idaho,06/30/2020,5734.0,7425.0
270,Idaho,06/30/2021,6973.0,8265.0
271,Idaho,06/30/2022,7772.0,8798.0
272,Idaho,06/30/2023,8068.0,9595.0
273,Idaho,06/30/2024,8381.0,10116.0
274,Idaho,09/30/2019,4668.0,5499.0
275,Idaho,09/30/2020,5985.0,7590.0
276,Idaho,09/30/2021,7414.0,8581.0
277,Idaho,09/30/2022,8250.0,9320.0
278,Idaho,09/30/2023,8181.0,9758.0
279,Idaho,09/30/2024,8730.0,10502.0
280,Idaho,12/31/2019,4811.0,5709.0
281,Idaho,12/31/2020,6242.0,7799.0
282,Idaho,12/31/2021,7646.0,8773.0
283,Idaho,12/31/2022,8067.0,9246.0
284,Idaho,12/31/2023,8173.0,9904.0
285,Idaho,12/31/2024,9035.0,10794.0
286,Illinois,03/31/2019,243785.0,302605.0
287,Illinois,03/31/2020,271123.0,334500.0
288,Illinois,03/31/2021,308306.0,367735.0
289,Illinois,03/31/2022,311024.0,361922.0
290,Illinois,03/31/2023,272791.0,344731.0
291,Illinois,03/31/2024,289923.0,356971.0
292,Illinois,06/30/2019,250111.0,308594.0
293,Illinois,06/30/2020,278140.0,341170.0
294,Illinois,06/30/2021,319100.0,378890.0
295,Illinois,06/30/2022,294818.0,346112.0
296,Illinois,06/30/2023,272517.0,352403.0
297,Illinois,06/30/2024,289119.0,358768.0
298,Illinois,09/30/2019,249394.0,310001.0
299,Illinois,09/30/2020,280953.0,344048.0
300,Illinois,09/30/2021,317138.0,379257.0
301,Illinois,09/30/2022,291085.0,351020.0
302,Illinois,09/30/2023,272179.0,342408.0
303,Illinois,09/30/2024,292118.0,361900.0
304,Illinois,12/31/2019,250900.0,309627.0
305,Illinois,12/31/2020,309859.0,369539.0
306,Illinois,12/31/2021,338375.0,396156.0
307,Illinois,12/31/2022,284223.0,347083.0
308,Illinois,12/31/2023,281555.0,350641.0
309,Illinois,12/31/2024,296752.0,363939.0
310,Indiana,03/31/2019,56039.0,69158.0
311,Indiana,03/31/2020,62062.0,77202.0
312,Indiana,03/31/2021,75129.0,90170.0
313,Indiana,03/31/2022,82854.0,98003.0
314,Indiana,03/31/2023,89075.0,108189.0
315,Indiana,03/31/2024,95499.0,116699.0
316,Indiana,06/30/2019,59234.0,72780.0
317,Indiana,06/30/2020,68495.0,85161.0
318,Indiana,06/30/2021,76493.0,91894.0
319,Indiana,06/30/2022,85327.0,101750.0
320,Indiana,06/30/2023,91758.0,111544.0
321,Indiana,06/30/2024,97278.0,118347.0
322,Indiana,09/30/2019,61976.0,76127.0
323,Indiana,09/30/2020,68969.0,85721.0
324,Indiana,09/30/2021,79750.0,95374.0
325,Indiana,09/30/2022,87284.0,102818.0
326,Indiana,09/30/2023,92794.0,112864.0
327,Indiana,09/30/2024,96199.0,119847.0
328,Indiana,12/31/2019,62077.0,76689.0
329,Indiana,12/31/2020,71455.0,87637.0
330,Indiana,12/31/2021,81936.0,97799.0
331,Indiana,12/31/2022,87395.0,105787.0
332,Indiana,12/31/2023,95133.0,115402.0
333,Indiana,12/31/2024,95934.0,120429.0
334,Iowa,03/31/2019,65320.0,79387.0
335,Iowa,03/31/2020,67906.0,83005.0
336,Iowa,03/31/2021,82588.0,98081.0
337,Iowa,03/31/2022,88641.0,102831.0
338,Iowa,03/31/2023,89965.0,106930.0
339,Iowa,03/31/2024,90788.0,110251.0
340,Iowa,06/30/2019,65251.0,79918.0
341,Iowa,06/30/2020,73215.0,89450.0
342,Iowa,06/30/2021,82767.0,98109.0
343,Iowa,06/30/2022,88384.0,102484.0
344,Iowa,06/30/2023,89036.0,107651.0
345,Iowa,06/30/2024,90288.0,110322.0
346,Iowa,09/30/2019,65963.0,80750.0
347,Iowa,09/30/2020,75021.0,91061.0
348,Iowa,09/30/2021,84246.0,99467.0
349,Iowa,09/30/2022,88503.0,103656.0
350,Iowa,09/30/2023,89057.0,108080.0
351,Iowa,09/30/2024,92008.0,112198.0
352,Iowa,12/31/2019,66951.0,81789.0
353,Iowa,12/31/2020,78572.0,94507.0
354,Iowa,12/31/2021,86600.0,101727.0
355,Iowa,12/31/2022,89103.0,106178.0
356,Iowa,12/31/2023,89052.0,108722.0
357,Iowa,12/31/2024,93507.0,112311.0
358,Kansas,03/31/2019,38177.0,46678.0
359,Kansas,03/31/2020,39626.0,48948.0
360,Kansas,03/31/2021,48031.0,57058.0
361,Kansas,03/31/2022,49983.0,58360.0
362,Kansas,03/31/2023,51067.0,60207.0
363,Kansas,03/31/2024,51452.0,61369.0
364,Kansas,06/30/2019,38098.0,47087.0
365,Kansas,06/30/2020,43471.0,53514.0
366,Kansas,06/30/2021,47511.0,56726.0
367,Kansas,06/30/2022,49724.0,58018.0
368,Kansas,06/30/2023,49540.0,59268.0
369,Kansas,06/30/2024,51169.0,61480.0
370,Kansas,09/30/2019,38440.0,47484.0
371,Kansas,09/30/2020,43592.0,53363.0
372,Kansas,09/30/2021,47623.0,56915.0
373,Kansas,09/30/2022,49708.0,57895.0
374,Kansas,09/30/2023,49557.0,59139.0
375,Kansas,09/30/2024,51298.0,61658.0
376,Kansas,12/31/2019,39117.0,48152.0
377,Kansas,12/31/2020,45369.0,54487.0
378,Kansas,12/31/2021,49063.0,58150.0
379,Kansas,12/31/2022,50600.0,59297.0
380,Kansas,12/31/2023,50682.0,60731.0
381,Kansas,12/31/2024,52586.0,62341.0
382,Kentucky,03/31/2019,42678.0,52695.0
383,Kentucky,03/31/2020,43695.0,54017.0
384,Kentucky,03/31/2021,54048.0,64027.0
385,Kentucky,03/31/2022,55613.0,64899.0
386,Kentucky,03/31/2023,55605.0,65985.0
387,Kentucky,03/31/2024,57355.0,68460.0
388,Kentucky,06/30/2019,42561.0,53161.0
389,Kentucky,06/30/2020,49094.0,60029.0
390,Kentucky,06/30/2021,54224.0,64300.0
391,Kentucky,06/30/2022,55354.0,64520.0
392,Kentucky,06/30/2023,53700.0,65158.0
393,Kentucky,06/30/2024,56646.0,68443.0
394,Kentucky,09/30/2019,41906.0,52729.0
395,Kentucky,09/30/2020,49088.0,59472.0
396,Kentucky,09/30/2021,53951.0,64094.0
397,Kentucky,09/30/2022,55609.0,64941.0
398,Kentucky,09/30/2023,54787.0,65762.0
399,Kentucky,09/30/2024,57230.0,69305.0
400,Kentucky,12/31/2019,42881.0,53280.0
401,Kentucky,12/31/2020,51028.0,61360.0
402,Kentucky,12/31/2021,55400.0,65452.0
403,Kentucky,12/31/2022,55128.0,65234.0
404,Kentucky,12/31/2023,56611.0,67657.0
405,Kentucky,12/31/2024,59126.0,70602.0
406,Louisiana,03/31/2019,58252.0,71444.0
407,Louisiana,03/31/2020,59932.0,73190.0
408,Louisiana,03/31/2021,43943.0,50411.0
409,Louisiana,03/31/2022,47878.0,54269.0
410,Louisiana,03/31/2023,50065.0,58930.0
411,Louisiana,03/31/2024,51624.0,60175.0
412,Louisiana,06/30/2019,58356.0,72073.0
413,Louisiana,06/30/2020,67241.0,80391.0
